ICD9,DESCRIPTION
71809,Other articular cartilage disorders
71810,Loose body in unspecified joint
71811,Loose body in unspecified shoulder
71812,Loose body in unspecified elbow
71813,Loose body in unspecified wrist
71814,Loose body in unspecified finger joint(s)
71815,Loose body in unspecified hip
71817,Loose body in unspecified ankle
71818,Loose body
71819,Loose body in unspecified joint
71820,Pathological dislocation of unspecified joint
71821,Pathological dislocation of unspecified shoulder
71822,Pathological dislocation of unspecified elbow
71823,Pathological dislocation of unspecified wrist
71824,Pathological dislocation of unspecified hand
71825,Pathological dislocation of unspecified hip
71826,Pathological dislocation of unspecified knee
71827,Pathological dislocation of unspecified ankle
71828,Pathological dislocation of unspecified joint
71829,Pathological dislocation of unspecified joint
71830,Recurrent dislocation
71831,Recurrent dislocation
71832,Recurrent dislocation
71833,Recurrent dislocation
71834,Recurrent dislocation
71835,Recurrent dislocation
71836,Recurrent dislocation
71837,Recurrent dislocation
71838,Other recurrent atlantoaxial dislocation
71839,Other recurrent vertebral dislocation
71840,Contracture
71841,Contracture
71842,Contracture
71843,Contracture
71844,Contracture
71845,Contracture
71846,Contracture
71847,Contracture
71848,Contracture
71849,Contracture
71850,Ankylosis
71851,Ankylosis
71852,Ankylosis
71853,Ankylosis
71854,Ankylosis
71855,Ankylosis
71856,Ankylosis
71857,Ankylosis
71858,Ankylosis
71859,Ankylosis
71865,Protrusio acetabuli
71870,Other specific joint derangements of unspecified joint
71871,Other specific joint derangements of unspecified shoulder
71872,Other specific joint derangements of unspecified elbow
71873,Other specific joint derangements of unspecified wrist
71874,Other specific joint derangements of unspecified hand
71875,Other specific joint derangements of unspecified hip
71876,Other specific joint derangements of unspecified joint
71877,Other specific joint derangements of unspecified ankle
71878,Other specific joint derangements of unspecified joint
71879,Other specific joint derangements of unspecified joint
71880,Other specific joint derangements of unspecified joint
71881,Other specific joint derangements of unspecified shoulder
71882,Other specific joint derangements of unspecified elbow
71883,Other specific joint derangements of unspecified wrist
71884,Other specific joint derangements of unspecified hand
71885,Other specific joint derangements of unspecified hip
71886,Chronic instability of knee
71887,Other specific joint derangements of unspecified ankle
71888,Other specific joint derangements of unspecified joint
71889,Other specific joint derangements of unspecified joint
71890,Joint derangement
71891,Joint derangement
71892,Joint derangement
71893,Joint derangement
71894,Joint derangement
71895,Joint derangement
71897,Joint derangement
71898,Joint derangement
71899,Joint derangement
71900,Effusion
71901,Effusion
71902,Effusion
71903,Effusion
71904,Effusion
71905,Effusion
71906,Effusion
71907,Effusion
71908,Effusion
71909,Effusion
71910,Hemarthrosis
71911,Hemarthrosis
71912,Hemarthrosis
71913,Hemarthrosis
71914,Hemarthrosis
71915,Hemarthrosis
71916,Hemarthrosis
71917,Hemarthrosis
71918,Hemarthrosis
71919,Hemarthrosis
71920,Villonodular synovitis (pigmented)
71921,Villonodular synovitis (pigmented)
71922,Villonodular synovitis (pigmented)
71923,Villonodular synovitis (pigmented)
71924,Villonodular synovitis (pigmented)
71925,Villonodular synovitis (pigmented)
71926,Villonodular synovitis (pigmented)
71927,Villonodular synovitis (pigmented)
71928,Villonodular synovitis (pigmented)
71929,Villonodular synovitis (pigmented)
71930,Palindromic rheumatism
71931,Palindromic rheumatism
71932,Palindromic rheumatism
71933,Palindromic rheumatism
71934,Palindromic rheumatism
71935,Palindromic rheumatism
71936,Palindromic rheumatism
71937,Palindromic rheumatism
71938,Palindromic rheumatism
71939,Palindromic rheumatism
71940,Pain in unspecified joint
71941,Pain in unspecified shoulder
71942,Pain in unspecified elbow
71943,Pain in unspecified wrist
71944,Pain in unspecified finger(s)
71945,Pain in unspecified hip
71946,Pain in unspecified knee
71947,Pain in unspecified ankle and joints of unspecified foot
71948,Pain in unspecified joint
71949,Pain in unspecified joint
71950,Stiffness of unspecified joint
71951,Stiffness of unspecified shoulder
71952,Stiffness of unspecified elbow
71953,Stiffness of unspecified wrist
71954,Stiffness of unspecified hand
71955,Stiffness of unspecified hip
71956,Stiffness of unspecified knee
71957,Stiffness of unspecified ankle
71958,Stiffness of unspecified joint
71959,Stiffness of unspecified joint
71960,Other symptoms and signs involving the musculoskeletal system
71961,Other symptoms and signs involving the musculoskeletal system
71962,Other symptoms and signs involving the musculoskeletal system
71963,Other symptoms and signs involving the musculoskeletal system
71964,Other symptoms and signs involving the musculoskeletal system
71965,Clicking hip
71966,Other symptoms and signs involving the musculoskeletal system
71967,Other symptoms and signs involving the musculoskeletal system
71968,Other symptoms and signs involving the musculoskeletal system
71969,Other symptoms and signs involving the musculoskeletal system
7197,Difficulty in walking
71980,Other specified joint disorders
71981,Fistula
71982,Other specified joint disorders
71983,Other specified joint disorders
71984,Other specified joint disorders
71985,Other specified joint disorders
71986,Other specified joint disorders
71987,Other specified joint disorders
71988,Fistula
71989,Fistula
71990,Joint disorder
71991,Joint disorder
71992,Joint disorder
71993,Joint disorder
71994,Joint disorder
71995,Joint disorder
71996,Joint disorder
71997,Joint disorder
71998,Joint disorder
71999,Joint disorder
7200,Ankylosing spondylitis of unspecified sites in spine
7201,Spinal enthesopathy
7202,Sacroiliitis
72081,Spondylopathy in diseases classified elsewhere
72089,Other specified inflammatory spondylopathies
7209,Unspecified inflammatory spondylopathy
7210,Spondylosis without myelopathy or radiculopathy
7211,Other spondylosis with myelopathy
7212,Spondylosis without myelopathy or radiculopathy
7213,Spondylosis without myelopathy or radiculopathy
72141,Other spondylosis with myelopathy
72142,Other spondylosis with myelopathy
7215,Kissing spine
7216,Ankylosing hyperostosis [Forestier]
7217,Traumatic spondylopathy
7218,Spondylopathy
72190,Spondylosis without myelopathy or radiculopathy
72191,Other spondylosis with myelopathy
7220,Other cervical disc displacement
72210,Other intervertebral disc displacement
72211,Other intervertebral disc displacement
7222,Unspecified thoracic
72230,Unspecified thoracic
72231,Schmorl's nodes
72232,Schmorl's nodes
72239,Unspecified thoracic
7224,Other cervical disc degeneration
72251,Other intervertebral disc degeneration
72252,Other intervertebral disc degeneration
7226,Other intervertebral disc degeneration
72270,Unspecified thoracic
72271,Cervical disc disorder with myelopathy
72272,Intervertebral disc disorders with myelopathy
72273,Intervertebral disc disorders with myelopathy
72280,Postlaminectomy syndrome
72281,Postlaminectomy syndrome
72282,Postlaminectomy syndrome
72283,Postlaminectomy syndrome
72290,Discitis
72291,Cervical disc disorder
72292,Discitis
72293,Discitis
7230,Spinal stenosis
7231,Cervicalgia
7232,Cervicocranial syndrome
7233,Cervicobrachial syndrome
7234,Radiculopathy
7235,Torticollis
7236,Panniculitis affecting regions of neck and back
7237,Other specified disorders of synovium and tendon
7238,Other specified dorsopathies
7239,Other specified dorsopathies
72400,Spinal stenosis
72401,Spinal stenosis
72402,Spinal stenosis
72403,Spinal stenosis
72409,Spinal stenosis
7241,Pain in thoracic spine
7242,Low back pain
7243,Sciatica
7244,Radiculopathy
7245,Other dorsalgia
7246,Fusion of spine
72470,Sacrococcygeal disorders
72471,Spinal instabilities
72479,Sacrococcygeal disorders
7248,Panniculitis affecting regions of neck and back
7249,Dorsopathy
725,Polymyalgia rheumatica
7260,Adhesive capsulitis of unspecified shoulder
72610,Unspecified rotator cuff tear or rupture of unspecified shoulder
72611,Calcific tendinitis of unspecified shoulder
72612,Bicipital tendinitis
72613,Incomplete rotator cuff tear or rupture of unspecified shoulder
72619,Other shoulder lesions
7262,Impingement syndrome of unspecified shoulder
72630,Osteophyte
72631,Medial epicondylitis
72632,Lateral epicondylitis
72633,Olecranon bursitis
72639,Other bursitis of elbow
7264,Bursitis
7265,Other bursitis of hip
72660,Other bursitis of knee
72661,Other specified enthesopathies of unspecified lower limb
72662,Tibial collateral bursitis [Pellegrini-Stieda]
72663,Other specified enthesopathies of unspecified lower limb
72664,Patellar tendinitis
72665,Prepatellar bursitis
72669,Other specified enthesopathies of unspecified lower limb
72670,Other specified enthesopathies of unspecified lower limb
72671,Achilles tendinitis
72672,Posterior tibial tendinitis
72673,Calcaneal spur
72679,Other enthesopathy of unspecified foot
7268,Other enthesopathies
72690,Enthesopathy
72691,Osteophyte
72700,Synovitis and tenosynovitis
72701,Other synovitis and tenosynovitis
72702,Neoplasm of uncertain behavior of connective and other soft tissue
72703,Trigger finger
72704,Radial styloid tenosynovitis [de Quervain]
72705,Other synovitis and tenosynovitis
72706,Other synovitis and tenosynovitis
72709,Other synovitis and tenosynovitis
7271,Hallux valgus (acquired)
7272,Crepitant synovitis (acute) (chronic)
7273,Other bursitis
72740,Other bursal cyst
72741,Ganglion
72742,Ganglion
72743,Ganglion
72749,Other bursal cyst
72750,Rupture of synovium
72751,Synovial cyst of popliteal space [Baker]
72759,Rupture of synovium
72760,Spontaneous rupture of unspecified tendon
72761,Complete rotator cuff tear or rupture of unspecified shoulder
72762,Spontaneous rupture of other tendons
72763,Spontaneous rupture of extensor tendons
72764,Spontaneous rupture of flexor tendons
72765,Spontaneous rupture of extensor tendons
72766,Spontaneous rupture of extensor tendons
72767,Spontaneous rupture of flexor tendons
72768,Spontaneous rupture of other tendons
72769,Spontaneous rupture of other tendons
72781,Short Achilles tendon (acquired)
72782,Calcium deposit in bursa
72783,Plica syndrome
72789,Other specified disorders of synovium and tendon
7279,Bursopathy
7280,Infective myositis
72810,Calcification and ossification of muscle
72811,Myositis ossificans progressiva
72812,Myositis ossificans traumatica
72813,Other calcification of muscle
72819,Other ossification of muscle
7282,Muscle wasting and atrophy
7283,Immobility syndrome (paraplegic)
7284,Disorder of ligament
7285,Hypermobility syndrome
7286,Palmar fascial fibromatosis [Dupuytren]
72871,Plantar fascial fibromatosis
72879,Pseudosarcomatous fibromatosis
72881,Interstitial myositis of unspecified site
72882,Foreign body granuloma of soft tissue
72883,Other rupture of muscle (nontraumatic)
72884,Separation of muscle (nontraumatic)
72885,Other muscle spasm
72886,Necrotizing fasciitis
72887,Muscle weakness (generalized)
72888,Rhabdomyolysis
72889,Other specified disorders of muscle
7289,Disorder of muscle
7290,Rheumatism
7291,Myositis
7292,Neuralgia and neuritis
72930,Panniculitis
72931,Hypertrophy of (infrapatellar) fat pad
72939,Panniculitis
7294,Fibroblastic disorder
7295,Pain in unspecified limb
7296,Residual foreign body in soft tissue
72971,Nontraumatic compartment syndrome of unspecified upper extremity
72972,Nontraumatic compartment syndrome of unspecified lower extremity
72973,Nontraumatic compartment syndrome of abdomen
72979,Nontraumatic compartment syndrome of other sites
72981,Other specified soft tissue disorders
72982,Cramp and spasm
72989,Other symptoms and signs involving the musculoskeletal system
72990,Soft tissue disorder
72991,Unspecified soft tissue disorder related to use
72992,Nontraumatic hematoma of soft tissue
72999,Other specified soft tissue disorders
73000,Subacute osteomyelitis
73001,Other acute osteomyelitis
73002,Other acute osteomyelitis
73003,Other acute osteomyelitis
73004,Other acute osteomyelitis
73005,Other acute osteomyelitis
73006,Other acute osteomyelitis
73007,Other acute osteomyelitis
73008,Other acute osteomyelitis
73009,Other acute osteomyelitis
73010,Other chronic osteomyelitis
73011,Other chronic osteomyelitis
73012,Other chronic osteomyelitis
73013,Other chronic osteomyelitis
73014,Other chronic osteomyelitis
73015,Other chronic osteomyelitis
73016,Other chronic osteomyelitis
73017,Other chronic osteomyelitis
73018,Other chronic osteomyelitis
73019,Other chronic osteomyelitis
73020,Osteomyelitis
73021,Osteomyelitis
73022,Osteomyelitis
73023,Osteomyelitis
73024,Osteomyelitis
73025,Osteomyelitis
73026,Osteomyelitis
73027,Osteomyelitis
73028,Osteomyelitis of vertebra
73029,Osteomyelitis
73030,Osteomyelitis
73031,Osteomyelitis
73032,Osteomyelitis
73033,Osteomyelitis
73034,Osteomyelitis
73035,Osteomyelitis
73036,Osteomyelitis
73037,Osteomyelitis
73038,Osteomyelitis
73039,Osteomyelitis
73070,Osteopathy after poliomyelitis
73071,Osteopathy after poliomyelitis
73072,Osteopathy after poliomyelitis
73073,Osteopathy after poliomyelitis
73074,Osteopathy after poliomyelitis
73075,Osteopathy after poliomyelitis
73076,Osteopathy after poliomyelitis
73077,Osteopathy after poliomyelitis
73078,Osteopathy after poliomyelitis
73079,Osteopathy after poliomyelitis
73080,Osteopathy in diseases classified elsewhere
73081,Osteopathy in diseases classified elsewhere
73082,Osteopathy in diseases classified elsewhere
73083,Osteopathy in diseases classified elsewhere
73084,Osteopathy in diseases classified elsewhere
73085,Osteopathy in diseases classified elsewhere
73086,Osteopathy in diseases classified elsewhere
73087,Osteopathy in diseases classified elsewhere
73088,Osteopathy in diseases classified elsewhere
73089,Osteopathy in diseases classified elsewhere
73090,Osteomyelitis
73091,Osteomyelitis
73092,Osteomyelitis
73093,Osteomyelitis
73094,Osteomyelitis
73095,Osteomyelitis
73096,Osteomyelitis
73097,Osteomyelitis
73098,Infection of intervertebral disc (pyogenic)
73099,Osteomyelitis
7310,Osteitis deformans of unspecified bone
7311,Osteitis deformans in neoplastic diseases
7312,Other hypertrophic osteoarthropathy
7313,Major osseous defect
7318,Osteopathy in diseases classified elsewhere
7320,Juvenile osteochondrosis of spine
7321,Other juvenile osteochondrosis of hip and pelvis
7322,Unspecified slipped upper femoral epiphysis (nontraumatic)
7323,Other juvenile osteochondrosis
7324,Juvenile osteochondrosis of patella
7325,Juvenile osteochondrosis of metatarsus
7326,Other specified juvenile osteochondrosis
7327,Osteochondritis dissecans of unspecified site
7328,Other specified osteochondropathies of unspecified site
7329,Osteochondropathy
73300,Age-related osteoporosis without current pathological fracture
73301,Age-related osteoporosis without current pathological fracture
73302,Other osteoporosis without current pathological fracture
73303,Other osteoporosis without current pathological fracture
73309,Other osteoporosis without current pathological fracture
73310,Pathological fracture
73311,Pathological fracture
73312,Pathological fracture
73313,Age-related osteoporosis with current pathological fracture
73314,Pathological fracture
73315,Pathological fracture
73316,Pathological fracture
73319,Pathological fracture
73320,Other cyst of bone
73321,Solitary bone cyst
73322,Aneurysmal bone cyst
73329,Other cyst of bone
7333,Hyperostosis of skull
73340,Idiopathic aseptic necrosis of unspecified bone
73341,Idiopathic aseptic necrosis of unspecified humerus
73342,Idiopathic aseptic necrosis of unspecified femur
73343,Idiopathic aseptic necrosis of unspecified femur
73344,Idiopathic aseptic necrosis of unspecified foot
73345,Idiopathic aseptic necrosis of bone
73349,Idiopathic aseptic necrosis of bone
7335,Osteitis condensans
7336,Chondrocostal junction syndrome [Tietze]
7337,Algoneurodystrophy
73381,Fracture of unspecified shoulder girdle
73382,Fracture of unspecified shoulder girdle
73390,Disorder of bone
73391,Physeal arrest
73392,Chondromalacia
73393,Stress fracture
73394,Stress fracture
73395,Stress fracture
73396,Stress fracture
73397,Stress fracture
73398,Stress fracture
73399,Hypertrophy of bone
734,Flat foot [pes planus] (acquired)
7350,Hallux valgus (acquired)
7351,Hallux varus (acquired)
7352,Hallux rigidus
7353,Other hammer toe(s) (acquired)
7354,Other hammer toe(s) (acquired)
7355,Other deformities of toe(s) (acquired)
7358,Other deformities of toe(s) (acquired)
7359,Acquired deformities of toe(s)
73600,Unspecified acquired deformity of unspecified forearm
73601,Valgus deformity
73602,Varus deformity
73603,Other specified acquired deformities of unspecified forearm
73604,Other specified acquired deformities of unspecified forearm
73605,Wrist drop
73606,Acquired clawhand
73607,Acquired clubhand
73609,Other specified acquired deformities of unspecified forearm
7361,Mallet finger of unspecified finger(s)
73620,Unspecified deformity of unspecified finger(s)
73621,Boutonniere deformity of unspecified finger(s)
73622,Swan-neck deformity of unspecified finger(s)
73629,Other deformity of finger(s)
73630,Unspecified acquired deformity of unspecified thigh
73631,Valgus deformity
73632,Varus deformity
73639,Other specified acquired deformities of unspecified thigh
73641,Valgus deformity
73642,Varus deformity
7365,Other specified acquired deformities of unspecified lower leg
7366,Other specified acquired deformities of unspecified lower leg
73670,Unspecified acquired deformity of unspecified lower leg
73671,Acquired clubfoot
73672,Other acquired deformities of unspecified foot
73673,Other acquired deformities of unspecified foot
73674,Acquired clawfoot
73675,Other acquired deformities of unspecified foot
73676,Other acquired deformities of unspecified foot
73679,Other acquired deformities of unspecified foot
73681,Unequal limb length (acquired)
73689,Unspecified acquired deformity of unspecified lower leg
7369,Unspecified acquired deformity of unspecified limb
7370,Postural kyphosis
73710,Postural kyphosis
73711,Postradiation kyphosis
73712,Postlaminectomy kyphosis
73719,Other kyphosis
73720,Postural lordosis
73721,Postsurgical lordosis
73722,Postsurgical lordosis
73729,Lordosis
73730,Other idiopathic scoliosis
73731,Infantile idiopathic scoliosis
73732,Infantile idiopathic scoliosis
73733,Postradiation scoliosis
73734,Thoracogenic scoliosis
73739,Other forms of scoliosis
73740,Other specified deforming dorsopathies
73741,Other secondary kyphosis
73742,Lordosis
73743,Neuromuscular scoliosis
7378,Other specified deforming dorsopathies
7379,Other specified deforming dorsopathies
7380,Acquired deformity of nose
73810,Other acquired deformity of head
73811,Hypertrophy of bone
73812,Other specified disorders of bone
73819,Other acquired deformity of head
7382,Acquired deformity of neck
7383,Acquired deformity of chest and rib
7384,Spondylolysis
7385,Other biomechanical lesions of lumbar region
7386,Acquired deformity of pelvis
7387,Cauliflower ear
7388,Other specified acquired deformities of musculoskeletal system
7389,Acquired deformity of musculoskeletal system
7390,Segmental and somatic dysfunction of head region
7391,Segmental and somatic dysfunction of cervical region
7392,Segmental and somatic dysfunction of thoracic region
7393,Segmental and somatic dysfunction of lumbar region
7394,Segmental and somatic dysfunction of sacral region
7395,Segmental and somatic dysfunction of pelvic region
7396,Segmental and somatic dysfunction of lower extremity
7397,Segmental and somatic dysfunction of upper extremity
7398,Segmental and somatic dysfunction of rib cage
7399,Segmental and somatic dysfunction of abdomen and other regions
7400,Anencephaly
7401,Craniorachischisis
7402,Iniencephaly
74100,Unspecified spina bifida with hydrocephalus
74101,Cervical spina bifida with hydrocephalus
74102,Thoracic spina bifida with hydrocephalus
74103,Lumbar spina bifida with hydrocephalus
74190,Sacral spina bifida without hydrocephalus
74191,Cervical spina bifida without hydrocephalus
74192,Thoracic spina bifida without hydrocephalus
74193,Lumbar spina bifida without hydrocephalus
7420,Encephalocele
7421,Microcephaly
7422,Other reduction deformities of brain
7423,Other congenital hydrocephalus
7424,Other specified congenital malformations of brain
74251,Diastematomyelia
74253,Hydromyelia
74259,Other specified congenital malformations of spinal cord
7428,Other specified congenital malformations of nervous system
7429,Congenital malformation of nervous system
74300,Other anophthalmos
74303,Cystic eyeball
74306,Microphthalmos
74310,Microphthalmos
74311,Microphthalmos
74312,Microphthalmos
74320,Congenital glaucoma
74321,Congenital glaucoma
74322,Congenital glaucoma
74330,Congenital cataract
74331,Congenital cataract
74332,Congenital cataract
74333,Congenital cataract
74334,Congenital cataract
74335,Congenital aphakia
74336,Spherophakia
74337,Congenital displaced lens
74339,Congenital lens malformation
74341,Other congenital corneal malformations
74342,Congenital corneal opacity
74343,Congenital corneal opacity
74344,Rieger's anomaly
74345,Absence of iris
74346,Coloboma of iris
74347,Blue sclera
74348,Other congenital malformations of anterior segment of eye
74349,Other congenital malformations of anterior segment of eye
74351,Congenital malformation of vitreous humor
74352,Other congenital malformations of posterior segment of eye
74353,Congenital malformation of choroid
74354,Other congenital malformations of posterior segment of eye
74355,Other congenital malformations of posterior segment of eye
74356,Congenital malformation of retina
74357,Congenital malformation of optic disc
74358,Other congenital malformations of posterior segment of eye
74359,Other congenital malformations of posterior segment of eye
74361,Congenital ptosis
74362,Congenital ectropion
74363,Other congenital malformations of eyelid
74364,Other congenital malformations of lacrimal apparatus
74365,Other congenital malformations of lacrimal apparatus
74366,Congenital malformation of orbit
74369,Other congenital malformations of eyelid
7438,Other specified congenital malformations of eye
7439,Congenital malformation of eye
74400,Congenital malformation of ear causing impairment of hearing
74401,Congenital absence of (ear) auricle
74402,Congenital absence
74403,Other congenital malformations of middle ear
74404,Congenital malformation of ear ossicles
74405,Congenital malformation of inner ear
74409,Congenital malformation of ear causing impairment of hearing
7441,Accessory auricle
74421,Other specified congenital malformations of ear
74422,Macrotia
74423,Microtia
74424,Absence of eustachian tube
74429,Other misshapen ear
7443,Congenital malformation of ear
74441,Sinus
74442,Sinus
74443,Other branchial cleft malformations
74446,Preauricular sinus and cyst
74447,Preauricular sinus and cyst
74449,Other branchial cleft malformations
7445,Webbing of neck
74481,Macrocheilia
74482,Microcheilia
74483,Macrostomia
74484,Microstomia
74489,Other specified congenital malformations of face and neck
7449,Congenital malformation of face and neck
7450,Common arterial trunk
74510,Discordant ventriculoarterial connection
74511,Double outlet right ventricle
74512,Discordant atrioventricular connection
74519,Discordant ventriculoarterial connection
7452,Tetralogy of Fallot
7453,Double inlet ventricle
7454,Ventricular septal defect
7455,Atrial septal defect
74560,Atrioventricular septal defect
74561,Atrioventricular septal defect
74569,Atrioventricular septal defect
7457,Other congenital malformations of cardiac chambers and connections
7458,Other congenital malformations of cardiac chambers and connections
7459,Congenital malformation of cardiac septum
74600,Other congenital malformations of pulmonary valve
74601,Pulmonary valve atresia
74602,Congenital pulmonary valve stenosis
74609,Congenital pulmonary valve insufficiency
7461,Congenital malformation of tricuspid valve
7462,Ebstein's anomaly
7463,Congenital stenosis of aortic valve
7464,Congenital insufficiency of aortic valve
7465,Congenital mitral stenosis
7466,Congenital mitral insufficiency
7467,Hypoplastic left heart syndrome
74681,Congenital subaortic stenosis
74682,Cor triatriatum
74683,Pulmonary infundibular stenosis
74684,Other specified congenital malformations of heart
74685,Malformation of coronary vessels
74686,Congenital heart block
74687,Other specified congenital malformations of heart
74689,Other congenital malformations of aortic and mitral valves
7469,Congenital malformation of cardiac chambers and connections
7470,Patent ductus arteriosus
74710,Coarctation of aorta
74711,Atresia of aorta
74720,Other congenital malformations of aorta
74721,Other congenital malformations of aorta
74722,Atresia of aorta
74729,Other congenital malformations of aorta
74731,Coarctation of pulmonary artery
74732,Congenital pulmonary arteriovenous malformation
74739,Stenosis of pulmonary artery
74740,Congenital malformation of great vein
74741,Total anomalous pulmonary venous connection
74742,Partial anomalous pulmonary venous connection
74749,Other congenital malformations of great veins
7475,Congenital absence and hypoplasia of umbilical artery
74760,Congenital malformation of peripheral vascular system
74761,Anomalous portal venous connection
74762,Other congenital malformations of renal artery
74763,Arteriovenous malformation of vessel of upper limb
74764,Arteriovenous malformation of vessel of lower limb
74769,Other specified congenital malformations of peripheral vascular system
74781,Other malformations of cerebral vessels
74782,Congenital malformation of peripheral vascular system
74783,Persistent fetal circulation
74789,Other specified congenital malformations of circulatory system
7479,Congenital malformation of circulatory system
7480,Choanal atresia
7481,Other congenital malformations of nose
7482,Web of larynx
7483,Congenital subglottic stenosis
7484,Congenital cystic lung
7485,Congenital hypoplasia and dysplasia of lung
74860,Congenital malformation of lung
74861,Congenital bronchiectasis
74869,Accessory lobe of lung
7488,Other specified congenital malformations of respiratory system
7489,Congenital malformation of respiratory system
74900,Cleft palate
74901,Cleft palate
74902,Cleft uvula
74903,Cleft palate
74904,Cleft palate
74910,Cleft lip
74911,Cleft lip
74912,Cleft lip
74913,Cleft lip
74914,Cleft lip
74920,Unspecified cleft palate with unilateral cleft lip
74921,Unspecified cleft palate with unilateral cleft lip
74922,Unspecified cleft palate with unilateral cleft lip
74923,Unspecified cleft palate with bilateral cleft lip
74924,Unspecified cleft palate with bilateral cleft lip
74925,Unspecified cleft palate with unilateral cleft lip
7500,Ankyloglossia
75010,Other congenital malformations of tongue
75011,Other congenital malformations of tongue
75012,Other congenital malformations of tongue
75013,Other congenital malformations of tongue
75015,Macroglossia
75016,Other congenital malformations of tongue
75019,Other congenital malformations of tongue
75021,Congenital malformations of salivary glands and ducts
75022,Congenital malformations of salivary glands and ducts
75023,Congenital malformations of salivary glands and ducts
75024,Congenital malformations of salivary glands and ducts
75025,Congenital malformations of lips
75026,Other congenital malformations of mouth
75027,Congenital pharyngeal pouch
75029,Other congenital malformations of pharynx
7503,Atresia of esophagus with tracheo-esophageal fistula
7504,Congenital dilatation of esophagus
7505,Congenital hypertrophic pyloric stenosis
7506,Congenital hiatus hernia
7507,Other specified congenital malformations of stomach
7508,Other specified congenital malformations of upper alimentary tract
7509,Congenital malformations of palate
7510,Meckel's diverticulum (displaced) (hypertrophic)
7511,Congenital absence
7512,Congenital absence
7513,Hirschsprung's disease
7514,Congenital malformations of intestinal fixation
7515,Duplication of intestine
75160,Other congenital malformations of gallbladder
75161,Atresia of bile ducts
75162,Cystic disease of liver
75169,Other congenital malformations of gallbladder
7517,Annular pancreas
7518,Other specified congenital malformations of digestive system
7519,Congenital malformation of digestive system
7520,Congenital absence of ovary
75210,Other congenital malformations of fallopian tube and broad ligament
75211,Embryonic cyst of fallopian tube
75219,Other congenital malformations of fallopian tube and broad ligament
7522,Other doubling of uterus
75231,Agenesis and aplasia of uterus
75232,Hypoplasia of uterus
75233,Unicornate uterus
75234,Bicornate uterus
75235,Other doubling of uterus
75236,Arcuate uterus
75239,Other congenital malformations of uterus
75240,Congenital malformation of female genitalia
75241,Embryonic cyst of cervix
75242,Imperforate hymen
75243,Agenesis and aplasia of cervix
75244,Cervical duplication
75245,Congenital absence of vagina
75246,Transverse vaginal septum
75247,Longitudinal vaginal septum
75249,Other congenital malformations of cervix
75251,Undescended testicle
75252,Retractile testis
75261,Hypospadias
75262,Epispadias
75263,Congenital chordee
75264,Hypoplasia of penis
75265,Hidden penis
75269,Congenital torsion of penis
7527,Pseudohermaphroditism
75281,Scrotal transposition
75289,Other specified congenital malformations of male genital organs
7529,Congenital malformation of female genitalia
7530,Renal agenesis
75310,Cystic kidney disease
75311,Congenital single renal cyst
75312,Polycystic kidney
75313,Polycystic kidney
75314,Other polycystic kidney
75315,Renal dysplasia
75316,Medullary cystic kidney
75317,Medullary cystic kidney
75319,Other cystic kidney diseases
75320,Other obstructive defects of renal pelvis and ureter
75321,Congenital occlusion of ureteropelvic junction
75322,Congenital occlusion of ureterovesical orifice
75323,Congenital ureterocele
75329,Congenital occlusion of ureter
7533,Other specified congenital malformations of kidney
7534,Agenesis of ureter
7535,Exstrophy of urinary bladder
7536,Other atresia and stenosis of urethra and bladder neck
7537,Malformation of urachus
7538,Other congenital malformations of bladder and urethra
7539,Congenital malformation of urinary system
7540,Other congenital deformities of skull
7541,Congenital deformity of sternocleidomastoid muscle
7542,Congenital deformity of spine
75430,Congenital dislocation of unspecified hip
75431,Congenital dislocation of hip
75432,Congenital partial dislocation of unspecified hip
75433,Congenital partial dislocation of hip
75435,Congenital dislocation of right hip
75435,Congenital partial dislocation of left hip
75440,Congenital deformity of knee
75441,Congenital deformity of knee
75442,Congenital bowing of femur
75443,Congenital bowing of tibia and fibula
75444,Congenital bowing of long bones of leg
75450,Congenital talipes equinovarus
75451,Congenital talipes equinovarus
75452,Congenital metatarsus (primus) varus
75453,Congenital metatarsus (primus) varus
75459,Other congenital varus deformities of feet
75460,Congenital talipes calcaneovalgus
75461,Congenital pes planus
75462,Congenital talipes calcaneovalgus
75469,Other congenital valgus deformities of feet
75470,Other specified congenital deformities of feet
75471,Congenital pes cavus
75479,Other specified congenital deformities of feet
75481,Pectus excavatum
75482,Pectus carinatum
75489,Congenital deformity of finger(s) and hand
75500,Polydactyly
75501,Accessory finger(s)
75502,Accessory toe(s)
75510,Polysyndactyly
75511,Webbed fingers
75512,Fused fingers
75513,Webbed toes
75514,Fused toes
75520,Other reduction defects of unspecified upper limb
75521,Congenital complete absence of unspecified upper limb
75522,Congenital complete absence of unspecified upper limb
75523,Congenital absence of unspecified upper arm and forearm with hand present
75524,Congenital absence of unspecified upper arm and forearm with hand present
75525,Congenital absence of both forearm and hand
75526,Longitudinal reduction defect of unspecified radius
75527,Longitudinal reduction defect of unspecified ulna
75528,Congenital absence of unspecified hand and finger
75529,Congenital absence of unspecified hand and finger
75530,Other reduction defects of unspecified lower limb
75531,Congenital complete absence of unspecified lower limb
75532,Other reduction defects of unspecified lower limb
75533,Congenital absence of unspecified thigh and lower leg with foot present
75534,Longitudinal reduction defect of unspecified femur
75535,Congenital absence of both lower leg and foot
